,,,,family,,,Uniprot,
PF00956,Nucleosome assembly protein (NAP),pfam,family,IPR002164,-,-,Q96NT1,182
PF12308,Neurogenesis glycoprotein,pfam,family,IPR022082,-,-,Q96PB7,478
PF13669,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,pfam,family,-,-,-,Q96PE7,176
PF00520,Ion transport protein,pfam,family,IPR005821,-,-,Q96PR1,638
PF00616,GTPase-activator protein for Ras-like GTPase,pfam,family,IPR001936,-,-,Q96PV0,1343
PF02181,Formin Homology 2 Domain,pfam,family,IPR015425,-,-,Q96PY5,1086
PF08626,"Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit",pfam,family,IPR013935,-,-,Q96Q05,1148
PF02204,Vacuolar sorting protein 9 (VPS9) domain,pfam,family,IPR003123,-,-,Q96Q42,1657
PF01490,Transmembrane amino acid transporter protein,pfam,family,IPR013057,-,-,Q96QD8,506
PF07078,Forty-two-three protein,pfam,family,-,-,-,Q96QD9,318
PF00083,Sugar (and other) transporter,pfam,family,IPR005828,-,-,Q96QE2,648
PF04845,PurA ssDNA and RNA-binding protein,pfam,family,IPR006628,-,-,Q96QR8,312
PF00876,Innexin,pfam,family,IPR000990,-,-,Q96RD7,426
PF00611,"Fes/CIP4, and EFC/F-BAR homology domain",pfam,family,IPR001060,-,-,Q96RU3,617
PF06762,Lipase maturation factor,pfam,family,IPR009613,-,-,Q96S06,567
PF06080,Protein of unknown function (DUF938),pfam,family,IPR010342,-,-,Q96S19,204
PF06293,Lipopolysaccharide kinase (Kdo/WaaP) family,pfam,family,-,-,-,Q96S44,253
PF10510,Phosphatidylinositol-glycan biosynthesis class S protein,pfam,family,IPR019540,-,-,Q96S52,555
PF16193,AAA C-terminal domain,pfam,family,IPR032423,-,-,Q96S55,665
PF00622,SPRY domain,pfam,family,IPR003877,-,-,Q96S59,729
PF05934,Mid-1-related chloride channel (MCLC),pfam,family,IPR009231,-,-,Q96S66,551
PF01237,Oxysterol-binding protein,pfam,family,IPR000648,-,-,Q96SU4,736
PF02190,ATP-dependent protease La (LON) substrate-binding domain,pfam,family,IPR003111,-,-,Q96SW2,442
PF07847,PCO_ADO,pfam,family,IPR012864,-,-,Q96SZ5,270
PF02759,RUN domain,pfam,family,IPR004012,-,-,Q96T51,708
PF00999,Sodium/hydrogen exchanger family,pfam,family,IPR006153,-,-,Q96T83,725
PF00520,Ion transport protein,pfam,family,IPR005821,-,-,Q99250,2005
PF06512,Sodium ion transport-associated,pfam,family,IPR010526,-,-,Q99250,2005
PF11933,Cytoplasmic domain of voltage-gated Na+ ion channel,pfam,family,IPR024583,-,-,Q99250,2005
PF12465,Proteasome beta subunits C terminal,pfam,family,IPR024689,-,-,Q99436,277
PF03839,Translocation protein Sec62,pfam,family,IPR004728,-,-,Q99442,399
PF11831,pre-mRNA splicing factor component,pfam,family,IPR021786,-,-,Q99459,802
PF01650,Peptidase C13 family,pfam,family,IPR001096,-,-,Q99538,433
PF00864,ATP P2X receptor,pfam,family,-,-,-,Q99572,595
PF01997,Translin family,pfam,family,IPR002848,-,-,Q99598,290
PF14974,Protein C10,pfam,family,IPR026317,-,-,Q99622,126
PF01145,SPFH domain / Band 7 family,pfam,family,IPR001107,-,-,Q99623,299
PF01490,Transmembrane amino acid transporter protein,pfam,family,IPR013057,-,-,Q99624,504
PF10075,CSN8/PSMD8/EIF3K family,pfam,family,IPR033464,-,-,Q99627,209
PF01127,Succinate dehydrogenase/Fumarate reductase transmembrane subunit,pfam,family,IPR000701,-,-,Q99643,169
PF20309,Deoxyribohydrolase (DRHyd) domain of the ASK signalosome,pfam,family,IPR046872,-,-,Q99683,1374
PF12146,"Serine aminopeptidase, S33",pfam,family,IPR022742,-,-,Q99685,303
PF07763,FEZ-like protein,pfam,family,IPR011680,-,-,Q99689,392
PF02574,Homocysteine S-methyltransferase,pfam,family,IPR003726,-,-,Q99707,1265
PF04622,ERG2 and Sigma1 receptor like protein,pfam,family,IPR006716,-,-,Q99720,223
PF01545,Cation efflux family,pfam,family,IPR002524,-,-,Q99726,388
PF00956,Nucleosome assembly protein (NAP),pfam,family,IPR002164,-,-,Q99733,375
PF01504,Phosphatidylinositol-4-phosphate 5-Kinase,pfam,family,IPR002498,-,-,Q99755,562
PF12698,ABC-2 family transporter protein,pfam,family,IPR013525,-,-,Q99758,1704
PF12308,Neurogenesis glycoprotein,pfam,family,IPR022082,-,-,Q99784,485
PF01432,Peptidase family M3,pfam,family,IPR001567,-,-,Q99797,713
PF00330,Aconitase family (aconitate hydratase),pfam,family,IPR001030,-,-,Q99798,780
PF02990,Endomembrane protein 70,pfam,family,IPR004240,-,-,Q99805,663
PF07002,Copine,pfam,family,IPR010734,-,-,Q99829,537
PF00118,TCP-1/cpn60 chaperonin family,pfam,family,IPR002423,-,-,Q99832,543
PF00209,Sodium:neurotransmitter symporter family,pfam,family,IPR000175,-,-,Q99884,636
PF02179,BAG domain,pfam,family,IPR003103,-,-,Q99933,345
PF01553,Acyltransferase,pfam,family,IPR002123,-,-,Q99943,283
PF04505,Interferon-induced transmembrane protein,pfam,family,IPR007593,-,-,Q99946,306
PF13289,SIR2-like domain,pfam,family,IPR039444,-,-,Q9BPY3,351
PF15169,Cytochrome b-245 chaperone 1 / Eros,pfam,family,IPR027846,-,-,Q9BQA9,187
PF05461,Apolipoprotein L,pfam,family,IPR008405,-,-,Q9BQE5,337
PF04931,DNA polymerase phi,pfam,family,IPR007015,-,-,Q9BQG0,1328
PF09668,Aspartyl protease,pfam,family,IPR019103,-,-,Q9BQI9,281
PF19699,Calsyntenin C-terminal,pfam,family,IPR045588,-,-,Q9BQT9,956
PF05871,ESCRT-II complex subunit,pfam,family,IPR008570,-,-,Q9BRG1,176
PF03134,"TB2/DP1, HVA22 family",pfam,family,IPR004345,-,-,Q9BRK0,252
PF05300,MICOS complex subunit MIC19/MIC25,pfam,family,IPR007964,-,-,Q9BRQ6,235
PF04587,ADP-specific Phosphofructokinase/Glucokinase conserved region,pfam,family,IPR007666,-,-,Q9BRR6,497
PF20180,Complex III assembly factor UQCC2/CBP6,pfam,family,IPR046827,-,-,Q9BRT2,126
PF10262,Rdx family,pfam,family,IPR011893,-,-,Q9BRT3,115
PF04538,Brain expressed X-linked like family,pfam,family,IPR021156,-,-,Q9BRU2,100
PF04906,Tweety,pfam,family,IPR006990,-,-,Q9BSA4,534
PF07855,Autophagy-related protein 101,pfam,family,IPR012445,-,-,Q9BSB4,218
PF15127,Small membrane A-kinase anchor protein,pfam,family,IPR027969,-,-,Q9BSF0,95
PF10171,Translocase of the Inner Mitochondrial membrane 29,pfam,family,IPR019322,-,-,Q9BSF4,260
PF01709,TACO1/YebC second and third domain,pfam,family,IPR048300,-,-,Q9BSH4,297
PF03676,Phagosome assembly factor 1,pfam,family,IPR005373,-,-,Q9BSU1,422
PF11938,TLR4 regulator and MIR-interacting MSAP,pfam,family,IPR021852,-,-,Q9BT09,278
PF03556,Cullin binding,pfam,family,IPR005176,-,-,Q9BTE7,237
PF15320,"mRNA cap methylation, RNMT-activating mini protein",pfam,family,IPR028271,-,-,Q9BTL3,118
PF00454,Phosphatidylinositol 3- and 4-kinase,pfam,family,IPR000403,-,-,Q9BTU6,479
PF07787,Transmembrane protein 43,pfam,family,IPR012430,-,-,Q9BTV4,400
PF00622,SPRY domain,pfam,family,IPR003877,-,-,Q9BTV5,496
PF12612,Tubulin folding cofactor D C terminal,pfam,family,IPR022577,-,-,Q9BTW9,1192
PF06979,TMEM70/TMEM186/TMEM223 protein family,pfam,family,IPR045325,-,-,Q9BUB7,260
PF01521,Iron-sulphur cluster biosynthesis,pfam,family,IPR000361,-,-,Q9BUE6,129
PF15384,"PAXX, PAralog of XRCC4 and XLF, also called C9orf142",pfam,family,IPR027873,-,-,Q9BUH6,204
PF00622,SPRY domain,pfam,family,IPR003877,-,-,Q9BUJ2,856
PF09769,Apolipoprotein O,pfam,family,IPR019166,-,-,Q9BUR5,198
PF10504,Protein of unknown function (DUF2452),pfam,family,IPR019534,-,-,Q9BV19,199
PF01008,Initiation factor 2 subunit family,pfam,family,IPR000649,-,-,Q9BV20,369
PF14077,Alternative WD40 repeat motif,pfam,family,IPR026987,-,-,Q9BV38,432
PF05891,AdoMet dependent proline di-methyltransferase,pfam,family,IPR008576,-,-,Q9BV86,223
PF14965,Negative regulator of p53/TP53,pfam,family,-,-,-,Q9BVC6,243
PF03034,Phosphatidyl serine synthase,pfam,family,IPR004277,-,-,Q9BVG9,487
PF15967,Nucleoporin FG repeated region,pfam,family,-,-,-,Q9BVL2,599
PF14913,DPCD protein family,pfam,family,IPR026224,-,-,Q9BVM2,203
PF06094,"Gamma-glutamyl cyclotransferase, AIG2-like",pfam,family,IPR009288,-,-,Q9BVM4,153
PF08704,tRNA methyltransferase complex GCD14 subunit,pfam,family,IPR049470,-,-,Q9BVS5,477
PF07575,Nup85 Nucleoporin,pfam,family,IPR011502,-,-,Q9BW27,656
PF01151,GNS1/SUR4 family,pfam,family,IPR002076,-,-,Q9BW60,279
PF04588,Hypoxia induced protein conserved region,pfam,family,IPR007667,-,-,Q9BW72,106
PF04930,FUN14 family,pfam,family,IPR007014,-,-,Q9BWH2,189
PF08620,"RPAP1-like, C-terminal",pfam,family,IPR013929,-,-,Q9BWH6,1393
PF08621,"RPAP1-like, N-terminal",pfam,family,IPR013930,-,-,Q9BWH6,1393
PF07189,Splicing factor 3B subunit 10 (SF3b10),pfam,family,IPR009846,-,-,Q9BWJ5,86
PF07406,NICE-3 protein,pfam,family,IPR010876,-,-,Q9BWL3,253
PF03820,Sideroflexins,pfam,family,IPR004686,-,-,Q9BWM7,321
PF01027,Inhibitor of apoptosis-promoting Bax1,pfam,family,IPR006214,-,-,Q9BWQ8,316
PF02208,Sorbin homologous domain,pfam,family,IPR003127,-,-,Q9BX66,1292
PF01237,Oxysterol-binding protein,pfam,family,IPR000648,-,-,Q9BXB4,747
PF01237,Oxysterol-binding protein,pfam,family,IPR000648,-,-,Q9BXB5,764
PF14782,"Ciliary BBSome complex subunit 2, C-terminal",pfam,family,IPR029333,-,-,Q9BXC9,721
PF06189,5'-nucleotidase,pfam,family,IPR010394,-,-,Q9BXI3,368
PF00566,Rab-GTPase-TBC domain,pfam,family,IPR000195,-,-,Q9BXI6,508
PF07851,TMPIT-like protein,pfam,family,IPR012926,-,-,Q9BXJ8,343
PF00452,"Apoptosis regulator proteins, Bcl-2 family",pfam,family,IPR046371,-,-,Q9BXK5,485
PF00622,SPRY domain,pfam,family,IPR003877,-,-,Q9BXM9,530
PF03522,Solute carrier family 12,pfam,family,IPR018491,-,-,Q9BXP2,914
PF04959,Arsenite-resistance protein 2,pfam,family,IPR007042,-,-,Q9BXP5,876
PF01702,Queuine tRNA-ribosyltransferase,pfam,family,IPR002616,-,-,Q9BXR0,403
PF00928,Adaptor complexes medium subunit family,pfam,family,IPR028565,-,-,Q9BXS5,423
PF15387,Domain of unknown function (DUF4611),pfam,family,IPR027893,-,-,Q9BXV9,100
PF01237,Oxysterol-binding protein,pfam,family,IPR000648,-,-,Q9BXW6,950
PF00611,"Fes/CIP4, and EFC/F-BAR homology domain",pfam,family,IPR001060,-,-,Q9BY11,444
PF03357,Snf7,pfam,family,IPR005024,-,-,Q9BY43,222
PF00572,Ribosomal protein L13,pfam,family,IPR005822,-,-,Q9BYD1,178
PF00573,Ribosomal protein L4/L1 family,pfam,family,IPR002136,-,-,Q9BYD3,311
PF02195,ParB/Sulfiredoxin domain,pfam,family,IPR003115,-,-,Q9BYN0,137
PF14943,Mitochondrial ribosome subunit S26,pfam,family,IPR026140,-,-,Q9BYN8,205
PF01432,Peptidase family M3,pfam,family,IPR001567,-,-,Q9BYT8,704
PF04547,Calcium-activated chloride channel,pfam,family,IPR049452,-,-,Q9BYT9,981
PF16178,"Dimerisation domain of Ca+-activated chloride-channel, anoctamin",pfam,family,IPR032394,-,-,Q9BYT9,981
PF03630,Fumble,pfam,family,IPR004567,-,-,Q9BZ23,570
PF02862,DDHD domain,pfam,family,IPR004177,-,-,Q9BZ71,974
PF02121,Phosphatidylinositol transfer protein,pfam,family,IPR001666,-,-,Q9BZ72,1349
PF02862,DDHD domain,pfam,family,IPR004177,-,-,Q9BZ72,1349
PF07147,Mitochondrial 28S ribosomal protein S30 (PDCD9),pfam,family,IPR010793,-,-,Q9BZE1,423
PF11470,TUG ubiquitin-like domain,pfam,family,IPR021569,-,-,Q9BZE9,553
PF01237,Oxysterol-binding protein,pfam,family,IPR000648,-,-,Q9BZF1,889
PF01237,Oxysterol-binding protein,pfam,family,IPR000648,-,-,Q9BZF3,934
PF03467,Smg-4/UPF3 family,pfam,family,IPR005120,-,-,Q9BZI7,483
PF00622,SPRY domain,pfam,family,IPR003877,-,-,Q9C026,710
PF00642,Zinc finger C-x8-C-x5-C-x3-H type (and similar),pfam,family,IPR000571,-,-,Q9C0B0,810
PF01529,DHHC palmitoyltransferase,pfam,family,IPR001594,-,-,Q9C0B5,715
PF19052,BMP/retinoic acid-inducible neural-specific protein,pfam,family,IPR033237,-,-,Q9C0B6,783
PF16891,Serine-threonine protein phosphatase N-terminal domain,pfam,family,IPR031675,-,-,Q9C0D0,580
PF10058,Predicted integral membrane zinc-ribbon metal-binding protein,pfam,family,IPR019273,-,-,Q9C0E8,428
PF04906,Tweety,pfam,family,IPR006990,-,-,Q9C0H2,523
PF00784,MyTH4 domain,pfam,family,IPR000857,-,-,Q9C0H5,1083
PF03915,Actin interacting protein 3,pfam,family,IPR022782,-,-,Q9C0H9,1183
PF12578,Myotubularin-associated protein,pfam,family,IPR022587,-,-,Q9C0I1,747
PF04880,"NUDE protein, C-terminal conserved region",pfam,family,IPR006964,-,-,Q9GZM8,345
PF10259,Rogdi leucine zipper containing protein,pfam,family,IPR028241,-,-,Q9GZN7,287
PF15006,Domain of unknown function (DUF4517),pfam,family,IPR026794,-,-,Q9GZN8,174
PF00291,Pyridoxal-phosphate dependent enzyme,pfam,family,IPR001926,-,-,Q9GZT4,340
PF07798,Coiled-coil domain-containing protein 90-like,pfam,family,IPR024461,-,-,Q9GZT6,254
PF01784,Duf34/NIF3 (NGG1p interacting factor 3),pfam,family,IPR002678,-,-,Q9GZT8,377
PF08016,Polycystin cation channel,pfam,family,IPR013122,-,-,Q9GZU1,580
PF05644,Mitochondrial and peroxisomal fission factor Mff,pfam,family,IPR039433,-,-,Q9GZY8,342
PF00583,Acetyltransferase (GNAT) family,pfam,family,IPR000182,-,-,Q9GZZ1,169
PF00642,Zinc finger C-x8-C-x5-C-x3-H type (and similar),pfam,family,IPR000571,-,-,Q9H000,416
PF05308,Mitochondrial fission regulator,pfam,family,IPR007972,-,-,Q9H019,292
PF07114,Transmembrane protein 126,pfam,family,IPR009801,-,-,Q9H061,195
PF01926,50S ribosome-binding GTPase,pfam,family,IPR006073,-,-,Q9H089,658
PF06625,Protein of unknown function (DUF1151),pfam,family,IPR009533,-,-,Q9H098,131
PF08351,"tRNA(Met) cytidine acetyltransferase TmcA, N-terminal",pfam,family,IPR013562,-,-,Q9H0A0,1025
PF13718,GNAT acetyltransferase 2,pfam,family,IPR000182,-,-,Q9H0A0,1025
PF13725,Possible tRNA binding domain,pfam,family,IPR027992,-,-,Q9H0A0,1025
PF00481,Protein phosphatase 2C,pfam,family,IPR001932,-,-,Q9H0C8,392
PF03159,XRN 5'-3' exonuclease N-terminus,pfam,family,IPR004859,-,-,Q9H0D6,950
PF14327,Hinge domain of cleavage stimulation factor subunit 2,pfam,family,IPR025742,-,-,Q9H0L4,616
PF05822,Pyrimidine 5'-nucleotidase (UMPH-1),pfam,family,IPR006434,-,-,Q9H0P0,336
PF02038,ATP1G1/PLM/MAT8 family,pfam,family,IPR000272,-,-,Q9H0Q3,95
PF05608,Protein of unknown function (DUF778),pfam,family,IPR008496,-,-,Q9H0R3,208
PF01425,Amidase,pfam,family,IPR023631,-,-,Q9H0R6,528
PF01592,NifU-like N terminal domain,pfam,family,IPR002871,-,-,Q9H1K1,167
PF01237,Oxysterol-binding protein,pfam,family,IPR000648,-,-,Q9H1P3,480
PF00209,Sodium:neurotransmitter symporter family,pfam,family,IPR000175,-,-,Q9H1V8,727
PF12763,Cytoskeletal-regulatory complex EF hand,pfam,family,IPR000261,-,-,Q9H223,541
PF16880,N-terminal EH-domain containing protein,pfam,family,IPR031692,-,-,Q9H223,541
PF00001,7 transmembrane receptor (rhodopsin family),pfam,family,IPR000276,-,-,Q9H244,342
PF07361,Cytochrome b562,pfam,family,IPR009155,-,-,Q9H244,342
PF15389,Domain of unknown function (DUF4612),pfam,family,IPR027967,-,-,Q9H246,121
PF00995,Sec1 family,pfam,family,IPR001619,-,-,Q9H267,617
PF12451,Vacuolar protein sorting protein 11 C terminal,pfam,family,IPR024763,-,-,Q9H270,941
PF04908,"SH3-binding, glutamic acid-rich protein",pfam,family,IPR006993,-,-,Q9H299,93
PF12474,Polo kinase kinase,pfam,family,IPR022165,-,-,Q9H2G2,1235
PF00209,Sodium:neurotransmitter symporter family,pfam,family,IPR000175,-,-,Q9H2J7,730
PF14656,Rab3 GTPase-activating protein regulatory subunit C-terminus,pfam,family,IPR029257,-,-,Q9H2M9,1393
PF11788,39S mitochondrial ribosomal protein L46,pfam,family,IPR021757,-,-,Q9H2W6,279
PF03522,Solute carrier family 12,pfam,family,IPR018491,-,-,Q9H2X9,1139
PF10601,LITAF-like zinc ribbon domain,pfam,family,IPR006629,-,-,Q9H305,208
PF04696,pinin/SDK/memA/ protein conserved region,pfam,family,IPR006786,-,-,Q9H307,717
PF04697,pinin/SDK conserved region,pfam,family,IPR006787,-,-,Q9H307,717
PF04906,Tweety,pfam,family,IPR006990,-,-,Q9H313,450
PF08736,FERM adjacent (FA),pfam,family,IPR014847,-,-,Q9H329,900
PF01594,AI-2E family transporter,pfam,family,IPR002549,-,-,Q9H330,879
PF04538,Brain expressed X-linked like family,pfam,family,IPR021156,-,-,Q9H3H9,227
PF01027,Inhibitor of apoptosis-promoting Bax1,pfam,family,IPR006214,-,-,Q9H3K2,345
PF01722,BolA-like protein,pfam,family,IPR002634,-,-,Q9H3K6,86
PF14957,Cdc42 effector,pfam,family,IPR029273,-,-,Q9H3Q1,356
PF01437,Plexin repeat,pfam,family,IPR002165,-,-,Q9H3S1,761
PF15797,Domain of unknown function (DUF4706),pfam,family,IPR031600,-,-,Q9H425,327
PF03357,Snf7,pfam,family,IPR005024,-,-,Q9H444,224
PF03881,Fructosamine kinase,pfam,family,IPR016477,-,-,Q9H479,309
PF10250,GDP-fucose protein O-fucosyltransferase,pfam,family,IPR019378,-,-,Q9H488,388
PF05719,Golgi phosphoprotein 3 (GPP34),pfam,family,IPR008628,-,-,Q9H4A6,298
PF04382,SAB domain,pfam,family,IPR007477,-,-,Q9H4G0,881
PF08736,FERM adjacent (FA),pfam,family,IPR014847,-,-,Q9H4G0,881
PF01237,Oxysterol-binding protein,pfam,family,IPR000648,-,-,Q9H4L5,887
PF04300,F-box associated region,pfam,family,IPR007397,-,-,Q9H4M3,255
PF12763,Cytoskeletal-regulatory complex EF hand,pfam,family,IPR000261,-,-,Q9H4M9,534
PF16880,N-terminal EH-domain containing protein,pfam,family,IPR031692,-,-,Q9H4M9,534
PF00534,Glycosyl transferases group 1,pfam,family,IPR001296,-,-,Q9H553,416
PF01490,Transmembrane amino acid transporter protein,pfam,family,IPR013057,-,-,Q9H598,525
PF05197,TRIC channel,pfam,family,IPR007866,-,-,Q9H6F2,299
PF07047,Optic atrophy 3 protein (OPA3),pfam,family,IPR010754,-,-,Q9H6K4,179
PF00501,AMP-binding enzyme,pfam,family,IPR000873,-,-,Q9H6R3,686
PF16177,Acetyl-coenzyme A synthetase N-terminus,pfam,family,IPR032387,-,-,Q9H6R3,686
PF10230,Lipid-droplet associated hydrolase,pfam,family,IPR019363,-,-,Q9H6V9,325
PF05586,Anthrax receptor C-terminus region,pfam,family,IPR008399,-,-,Q9H6X2,564
PF00856,SET domain,pfam,family,IPR001214,-,-,Q9H7B4,428
PF16172,DOCK N-terminus,pfam,family,IPR032376,-,-,Q9H7D0,1870
PF10240,Multivesicular body subunit 12,pfam,family,IPR018798,-,-,Q9H7P6,319
PF03364,Polyketide cyclase / dehydrase and lipid transport,pfam,family,IPR005031,-,-,Q9H8M1,238
PF03134,"TB2/DP1, HVA22 family",pfam,family,IPR004345,-,-,Q9H902,201
PF17054,Microtubule-Associated protein Jupiter,pfam,family,IPR033335,-,-,Q9H910,190
PF03820,Sideroflexins,pfam,family,IPR004686,-,-,Q9H9B4,322
PF02171,Piwi domain,pfam,family,IPR003165,-,-,Q9H9G7,860
PF16488,Argonaute linker 2 domain,pfam,family,IPR032472,-,-,Q9H9G7,860
PF21410,Microtubule-associated protein 6,pfam,family,IPR007882,-,-,Q9H9H5,199
PF09302,"XLF-Cernunnos, XRcc4-like factor, NHEJ component",pfam,family,IPR015381,-,-,Q9H9Q4,299
PF00344,SecY,pfam,family,IPR002208,-,-,Q9H9S3,476
PF16199,Radical_SAM C-terminal domain,pfam,family,IPR032432,-,-,Q9H9T3,547
PF03881,Fructosamine kinase,pfam,family,IPR016477,-,-,Q9HA64,309
PF00566,Rab-GTPase-TBC domain,pfam,family,IPR000195,-,-,Q9HA65,648
PF01406,tRNA synthetases class I (C) catalytic domain,pfam,family,IPR032678,-,-,Q9HA77,564
PF04127,DNA / pantothenate metabolism flavoprotein,pfam,family,IPR007085,-,-,Q9HAB8,311
PF00002,7 transmembrane receptor (Secretin family),pfam,family,IPR000832,-,-,Q9HAR2,1447
PF02354,Latrophilin Cytoplasmic C-terminal region,pfam,family,IPR003334,-,-,Q9HAR2,1447
PF02793,Hormone receptor domain,pfam,family,IPR001879,-,-,Q9HAR2,1447
PF19273,Exportin-5 family,pfam,family,IPR045478,-,-,Q9HAV4,1204
PF01025,GrpE,pfam,family,IPR000740,-,-,Q9HAV7,217
PF03690,Uncharacterised protein family (UPF0160),pfam,family,IPR003226,-,-,Q9HB07,376
PF10166,Uncharacterised conserved protein (DUF2368),pfam,family,IPR019319,-,-,Q9HBL7,147
PF05368,NmrA-like family,pfam,family,IPR008030,-,-,Q9HBL8,299
PF01049,"Cadherin, Y-type LIR-motif",pfam,family,IPR000233,-,-,Q9HBT6,801
PF01633,Choline/ethanolamine kinase,pfam,family,-,-,-,Q9HBU6,452
PF00588,SpoU rRNA Methylase family,pfam,family,IPR001537,-,-,Q9HC36,420
PF08374,Protocadherin,pfam,family,IPR013585,-,-,Q9HC56,1237
PF02014,Reeler domain,pfam,family,IPR002861,-,-,Q9HCB6,807
PF01039,Carboxyl transferase domain,pfam,family,IPR034733,-,-,Q9HCC0,563
PF04547,Calcium-activated chloride channel,pfam,family,IPR049452,-,-,Q9HCE9,1232
PF12215,"beta-glucosidase 2, glycosyl-hydrolase family 116 N-term",pfam,family,IPR024462,-,-,Q9HCG7,927
PF07002,Copine,pfam,family,IPR010734,-,-,Q9HCH3,593
PF02318,FYVE-type zinc finger,pfam,family,IPR041282,-,-,Q9HCH5,934
PF01437,Plexin repeat,pfam,family,IPR002165,-,-,Q9HCM2,1894
PF12877,UPF0606 protein KIAA1549,pfam,family,IPR024606,-,-,Q9HCM3,1950
PF08736,FERM adjacent (FA),pfam,family,IPR014847,-,-,Q9HCM4,733
PF12605,Casein kinase 1 gamma C terminal,pfam,family,IPR022247,-,-,Q9HCP0,422
PF03062,"MBOAT, membrane-bound O-acyltransferase family",pfam,family,IPR004299,-,-,Q9HCP6,504
PF07304,Steroid receptor RNA activator (SRA1),pfam,family,IPR009917,-,-,Q9HD15,224
PF00122,E1-E2 ATPase,pfam,family,-,-,-,Q9HD20,1204
PF06984,Mitochondrial 39-S ribosomal protein L47 (MRP-L47),pfam,family,IPR010729,-,-,Q9HD33,250
PF05347,Complex 1 protein (LYR family),pfam,family,IPR008011,-,-,Q9HD34,91
PF03357,Snf7,pfam,family,IPR005024,-,-,Q9HD42,196
PF02990,Endomembrane protein 70,pfam,family,IPR004240,-,-,Q9HD45,589
PF00664,ABC transporter transmembrane region,pfam,family,IPR011527,-,-,Q9NP58,842
PF16185,Mitochondrial ABC-transporter N-terminal five TM region,pfam,family,IPR032410,-,-,Q9NP58,842
PF04652,Vta1 like,pfam,family,IPR039431,-,-,Q9NP79,307
PF01734,Patatin-like phospholipase,pfam,family,IPR002641,-,-,Q9NP80,782
PF07147,Mitochondrial 28S ribosomal protein S30 (PDCD9),pfam,family,IPR010793,-,-,Q9NP92,439
PF00686,Starch binding domain,pfam,family,IPR002044,-,-,Q9NPB8,672
PF03009,Glycerophosphoryl diester phosphodiesterase family,pfam,family,IPR030395,-,-,Q9NPB8,672
PF00814,tRNA N6-adenosine threonylcarbamoyltransferase,pfam,family,IPR000905,-,-,Q9NPF4,335
PF01658,Myo-inositol-1-phosphate synthase,pfam,family,IPR013021,-,-,Q9NPH2,558
PF07994,Myo-inositol-1-phosphate synthase,pfam,family,IPR002587,-,-,Q9NPH2,558
PF02466,Tim17/Tim22/Tim23/Pmp24 family,pfam,family,-,-,-,Q9NPL8,285
PF10165,Guanine nucleotide exchange factor synembryn,pfam,family,IPR019318,-,-,Q9NPQ8,531
PF01437,Plexin repeat,pfam,family,IPR002165,-,-,Q9NPR2,837
PF00122,E1-E2 ATPase,pfam,family,-,-,-,Q9NQ11,1180
PF12409,P5-type ATPase cation transporter,pfam,family,IPR047819,-,-,Q9NQ11,1180
PF03194,LUC7 N_terminus,pfam,family,IPR004882,-,-,Q9NQ29,371
PF05434,TMEM9,pfam,family,IPR008853,-,-,Q9NQ34,198
PF15294,Leucine zipper,pfam,family,IPR026157,-,-,Q9NQ48,299
PF09812,Mitochondrial ribosomal protein L28,pfam,family,IPR019192,-,-,Q9NQ50,206
PF00387,"Phosphatidylinositol-specific phospholipase C, Y domain",pfam,family,IPR001711,-,-,Q9NQ66,1216
PF00388,"Phosphatidylinositol-specific phospholipase C, X domain",pfam,family,IPR000909,-,-,Q9NQ66,1216
PF06631,Protein of unknown function (DUF1154),pfam,family,IPR009535,-,-,Q9NQ66,1216
PF07593,ASPIC and UnbV,pfam,family,IPR011519,-,-,Q9NQ79,661
PF00622,SPRY domain,pfam,family,IPR003877,-,-,Q9NQ86,728
PF10154,Uncharacterised conserved protein (DUF2362),pfam,family,IPR019311,-,-,Q9NQ89,552
PF02453,Reticulon,pfam,family,IPR003388,-,-,Q9NQC3,1192
PF00443,Ubiquitin carboxyl-terminal hydrolase,pfam,family,IPR001394,-,-,Q9NQC7,956
PF11969,Scavenger mRNA decapping enzyme C-term binding,pfam,family,-,-,-,Q9NQE9,182
PF00795,Carbon-nitrogen hydrolase,pfam,family,IPR003010,-,-,Q9NQR4,276
PF15558,Domain of unknown function (DUF4659),pfam,family,IPR029090,-,-,Q9NQR7,707
PF00498,FHA domain,pfam,family,IPR000253,-,-,Q9NQT8,1826
PF12423,Kinesin protein 1B,pfam,family,IPR022140,-,-,Q9NQT8,1826
PF12473,Kinesin protein,pfam,family,IPR022164,-,-,Q9NQT8,1826
PF16183,Kinesin-associated,pfam,family,IPR032405,-,-,Q9NQT8,1826
PF16018,Anillin N-terminus,pfam,family,IPR031970,-,-,Q9NQW6,1124
PF03453,MoeA N-terminal region (domain I and II),pfam,family,IPR005110,-,-,Q9NQX3,736
PF06809,Neural proliferation differentiation control-1 protein (NPDC1),pfam,family,IPR009635,-,-,Q9NQX5,325
PF00501,AMP-binding enzyme,pfam,family,IPR000873,-,-,Q9NR19,701
PF16177,Acetyl-coenzyme A synthetase N-terminus,pfam,family,IPR032387,-,-,Q9NR19,701
PF06325,Ribosomal protein L11 methyltransferase (PrmA),pfam,family,-,-,-,Q9NR22,394
PF00483,Nucleotidyl transferase,pfam,family,IPR005835,-,-,Q9NR50,452
