,,,,domain,,,Uniprot,
PF00025,ADP-ribosylation factor family,pfam,domain,IPR006689,-,-,Q9H0F7,186
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,Q9H0L4,616
PF14304,Transcription termination and cleavage factor C-terminal,pfam,domain,IPR026896,-,-,Q9H0L4,616
PF01329,Pterin 4 alpha carbinolamine dehydratase,pfam,domain,IPR001533,-,-,Q9H0N5,130
PF07159,CYRIA/CYRIB Rac1 binding domain,pfam,domain,IPR009828,-,-,Q9H0Q0,323
PF13242,HAD-hyrolase-like,pfam,domain,-,-,-,Q9H0R4,259
PF13344,Haloacid dehalogenase-like hydrolase,pfam,domain,IPR006357,-,-,Q9H0R4,259
PF02991,Autophagy protein Atg8 ubiquitin like,pfam,domain,IPR004241,-,-,Q9H0R8,117
PF00071,Ras family,pfam,domain,IPR001806,-,-,Q9H0U4,201
PF03388,Legume-like lectin family,pfam,domain,IPR005052,-,-,Q9H0V9,348
PF08925,Domain of Unknown Function (DUF1907),pfam,domain,IPR015021,-,-,Q9H0W9,315
PF18122,Anaphase-promoting complex sub unit 1 C-terminal domain,pfam,domain,IPR041221,-,-,Q9H1A4,1944
PF21282,APC1 beta sandwich domain,pfam,domain,IPR048971,-,-,Q9H1A4,1944
PF00097,"Zinc finger, C3HC4 type (RING finger)",pfam,domain,IPR018957,-,-,Q9H1B7,796
PF11261,Interferon regulatory factor 2-binding protein zinc finger,pfam,domain,IPR022750,-,-,Q9H1B7,796
PF00085,Thioredoxin,pfam,domain,IPR013766,-,-,Q9H1E5,349
PF01363,FYVE zinc finger,pfam,domain,IPR000306,-,-,Q9H1K0,784
PF11464,Rabenosyn Rab binding domain,pfam,domain,IPR021565,-,-,Q9H1K0,784
PF04106,"Autophagy protein ATG5, UblB domain",pfam,domain,IPR048318,-,-,Q9H1Y0,275
PF20637,"Autophagy protein ATG5, alpha-helical bundle region",pfam,domain,IPR048940,-,-,Q9H1Y0,275
PF20638,"Autophagy protein ATG5, UblA domain",pfam,domain,IPR048939,-,-,Q9H1Y0,275
PF00350,Dynamin family,pfam,domain,IPR045063,-,-,Q9H223,541
PF18150,Domain of unknown function (DUF5600),pfam,domain,IPR040990,-,-,Q9H223,541
PF13923,"Zinc finger, C3HC4 type (RING finger)",pfam,domain,-,-,-,Q9H270,941
PF00651,BTB/POZ domain,pfam,domain,IPR000210,-,-,Q9H2C0,597
PF07707,BTB And C-terminal Kelch,pfam,domain,IPR011705,-,-,Q9H2C0,597
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,Q9H2G2,1235
PF00160,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD,pfam,domain,IPR002130,-,-,Q9H2H8,161
PF02114,Phosducin,pfam,domain,IPR024253,-,-,Q9H2J4,239
PF05198,"Translation initiation factor IF-3, N-terminal domain",pfam,domain,IPR019814,-,-,Q9H2K0,278
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,Q9H2K8,898
PF00590,Tetrapyrrole (Corrin/Porphyrin) Methylases,pfam,domain,IPR000878,-,-,Q9H2P9,285
PF00270,DEAD/DEAH box helicase,pfam,domain,IPR011545,-,-,Q9H2U1,1008
PF00271,Helicase conserved C-terminal domain,pfam,domain,IPR001650,-,-,Q9H2U1,1008
PF04408,"Helicase associated domain (HA2), winged-helix",pfam,domain,IPR048333,-,-,Q9H2U1,1008
PF07717,Oligonucleotide/oligosaccharide-binding (OB)-fold,pfam,domain,IPR011709,-,-,Q9H2U1,1008
PF21010,"Helicase associated domain (HA2), ratchet-like",pfam,domain,-,-,-,Q9H2U1,1008
PF00719,Inorganic pyrophosphatase,pfam,domain,IPR008162,-,-,Q9H2U2,334
PF00324,Amino acid permease,pfam,domain,IPR004841,-,-,Q9H2X9,1139
PF00373,FERM central domain,pfam,domain,IPR019748,-,-,Q9H329,900
PF09379,FERM N-terminal domain,pfam,domain,IPR018979,-,-,Q9H329,900
PF09380,FERM C-terminal PH-like domain,pfam,domain,IPR018980,-,-,Q9H329,900
PF00450,Serine carboxypeptidase,pfam,domain,IPR001563,-,-,Q9H3G5,476
PF08939,Basophilic leukemia-expressed protein Bles03,pfam,domain,IPR015034,-,-,Q9H3H3,292
PF00339,"Arrestin (or S-antigen), N-terminal domain",pfam,domain,IPR011021,-,-,Q9H3M7,391
PF02752,"Arrestin (or S-antigen), C-terminal domain",pfam,domain,IPR011022,-,-,Q9H3M7,391
PF00085,Thioredoxin,pfam,domain,IPR013766,-,-,Q9H3N1,280
PF00887,Acyl CoA binding protein,pfam,domain,IPR000582,-,-,Q9H3P7,528
PF13897,Golgi-dynamics membrane-trafficking,pfam,domain,IPR009038,-,-,Q9H3P7,528
PF00786,P21-Rho-binding domain,pfam,domain,IPR000095,-,-,Q9H3Q1,356
PF04263,"Thiamin pyrophosphokinase, catalytic domain",pfam,domain,IPR007371,-,-,Q9H3S4,243
PF04265,"Thiamin pyrophosphokinase, vitamin B1 binding domain",pfam,domain,IPR007373,-,-,Q9H3S4,243
PF00102,Protein-tyrosine phosphatase,pfam,domain,IPR000242,-,-,Q9H3S7,1636
PF13949,ALIX V-shaped domain binding to HIV,pfam,domain,IPR025304,-,-,Q9H3S7,1636
PF00226,DnaJ domain,pfam,domain,IPR001623,-,-,Q9H3Z4,198
PF00168,C2 domain,pfam,domain,IPR000008,-,-,Q9H426,269
PF05773,RWD domain,pfam,domain,IPR006575,-,-,Q9H446,243
PF16543,"DRG Family Regulatory Proteins, Tma46",pfam,domain,IPR032378,-,-,Q9H446,243
PF00646,F-box domain,pfam,domain,IPR001810,-,-,Q9H469,300
PF00294,pfkB family carbohydrate kinase,pfam,domain,IPR011611,-,-,Q9H477,322
PF02991,Autophagy protein Atg8 ubiquitin like,pfam,domain,IPR004241,-,-,Q9H492,121
PF01433,Peptidase family M1 domain,pfam,domain,IPR014782,-,-,Q9H4A4,650
PF17900,Peptidase M1 N-terminal domain,pfam,domain,IPR045357,-,-,Q9H4A4,650
PF00086,Thyroglobulin type-1 repeat,pfam,domain,IPR000716,-,-,Q9H4F8,434
PF07648,Kazal-type serine protease inhibitor domain,pfam,domain,IPR002350,-,-,Q9H4F8,434
PF10591,Secreted protein acidic and rich in cysteine Ca binding region,pfam,domain,IPR019577,-,-,Q9H4F8,434
PF00373,FERM central domain,pfam,domain,IPR019748,-,-,Q9H4G0,881
PF05902,4.1 protein C-terminal domain (CTD),pfam,domain,IPR008379,-,-,Q9H4G0,881
PF09379,FERM N-terminal domain,pfam,domain,IPR018979,-,-,Q9H4G0,881
PF09380,FERM C-terminal PH-like domain,pfam,domain,IPR018980,-,-,Q9H4G0,881
PF00188,Cysteine-rich secretory protein family,pfam,domain,IPR014044,-,-,Q9H4G4,154
PF15409,Pleckstrin homology domain,pfam,domain,IPR041680,-,-,Q9H4L5,887
PF12937,F-box-like,pfam,domain,IPR001810,-,-,Q9H4M3,255
PF00350,Dynamin family,pfam,domain,IPR045063,-,-,Q9H4M9,534
PF18150,Domain of unknown function (DUF5600),pfam,domain,IPR040990,-,-,Q9H4M9,534
PF13579,Glycosyl transferase 4-like domain,pfam,domain,IPR028098,-,-,Q9H553,416
PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,-,-,Q9H5K3,350
PF15363,"BTB/POZ domain-containing protein 8, C-terminal",pfam,domain,IPR027907,-,-,Q9H6K5,1346
PF02991,Autophagy protein Atg8 ubiquitin like,pfam,domain,IPR004241,-,-,Q9H6L5,497
PF02256,Iron hydrogenase small subunit,pfam,domain,IPR003149,-,-,Q9H6Q4,476
PF02906,"Iron only hydrogenase large subunit, C-terminal domain",pfam,domain,IPR004108,-,-,Q9H6Q4,476
PF13193,AMP-binding enzyme C-terminal domain,pfam,domain,IPR025110,-,-,Q9H6R3,686
PF13877,Potential Monad-binding region of RPAP3,pfam,domain,IPR025986,-,-,Q9H6T3,665
PF12490,"BCAS3 microtubule associated cell migration factor, C-terminal",pfam,domain,IPR022175,-,-,Q9H6U6,928
PF00092,von Willebrand factor type A domain,pfam,domain,IPR002035,-,-,Q9H6X2,564
PF05587,Anthrax receptor extracellular domain,pfam,domain,IPR008400,-,-,Q9H6X2,564
PF00638,RanBP1 domain,pfam,domain,IPR000156,-,-,Q9H6Z4,567
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,Q9H792,1746
PF01753,MYND finger,pfam,domain,IPR002893,-,-,Q9H7B4,428
PF04430,Protein of unknown function (DUF498/DUF598),pfam,domain,IPR007523,-,-,Q9H7C9,122
PF00018,SH3 domain,pfam,domain,IPR001452,-,-,Q9H7D0,1870
PF14429,C2 domain in Dock180 and Zizimin proteins,pfam,domain,IPR027007,-,-,Q9H7D0,1870
PF20422,"DHR-2, Lobe B",pfam,domain,IPR046770,-,-,Q9H7D0,1870
PF17814,LisH-like dimerisation domain,pfam,domain,-,-,-,Q9H7D7,661
PF13410,"Glutathione S-transferase, C-terminal domain",pfam,domain,-,-,-,Q9H7Z7,377
PF13417,"Glutathione S-transferase, N-terminal domain",pfam,domain,IPR004045,-,-,Q9H7Z7,377
PF00179,Ubiquitin-conjugating enzyme,pfam,domain,IPR000608,-,-,Q9H832,354
PF00441,"Acyl-CoA dehydrogenase, C-terminal domain",pfam,domain,IPR009075,-,-,Q9H845,621
PF02770,"Acyl-CoA dehydrogenase, middle domain",pfam,domain,IPR006091,-,-,Q9H845,621
PF02771,"Acyl-CoA dehydrogenase, N-terminal domain",pfam,domain,IPR013786,-,-,Q9H845,621
PF21343,"ACAD9/ACADV, C-terminal domain",pfam,domain,IPR049448,-,-,Q9H845,621
PF10607,CTLH/CRA C-terminal to LisH motif domain,pfam,domain,IPR024964,-,-,Q9H871,391
PF13445,RING-type zinc-finger,pfam,domain,IPR027370,-,-,Q9H871,391
PF08241,Methyltransferase domain,pfam,domain,IPR013216,-,-,Q9H8H3,244
PF00386,C1q domain,pfam,domain,IPR001073,-,-,Q9H8L6,949
PF07546,EMI domain,pfam,domain,IPR011489,-,-,Q9H8L6,949
PF00571,CBS domain,pfam,domain,IPR000644,-,-,Q9H8M5,875
PF01595,Cyclin M transmembrane N-terminal domain,pfam,domain,IPR002550,-,-,Q9H8M5,875
PF13898,"Deubiquitinating enzyme MINDY-3/4, conserved domain",pfam,domain,IPR025257,-,-,Q9H8M7,445
PF00179,Ubiquitin-conjugating enzyme,pfam,domain,IPR000608,-,-,Q9H8T0,292
PF04495,GRASP55/65 PDZ-like domain,pfam,domain,IPR024958,-,-,Q9H8Y8,452
PF00763,"Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain",pfam,domain,IPR020630,-,-,Q9H903,347
PF02882,"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain",pfam,domain,IPR020631,-,-,Q9H903,347
PF01937,Damage-control phosphatase ARMT1-like domain,pfam,domain,IPR002791,-,-,Q9H993,441
PF02170,PAZ domain,pfam,domain,IPR003100,-,-,Q9H9G7,860
PF08699,Argonaute linker 1 domain,pfam,domain,IPR014811,-,-,Q9H9G7,860
PF16486,N-terminal domain of argonaute,pfam,domain,IPR032474,-,-,Q9H9G7,860
PF16487,Mid domain of argonaute,pfam,domain,IPR032473,-,-,Q9H9G7,860
PF07200,Modifier of rudimentary (Mod(r)) protein,pfam,domain,IPR009851,-,-,Q9H9H4,285
PF01266,FAD dependent oxidoreductase,pfam,domain,IPR006076,-,-,Q9H9P8,463
PF01399,PCI domain,pfam,domain,IPR000717,-,-,Q9H9Q2,264
PF18392,COP9 signalosome complex subunit 7a helix I domain,pfam,domain,IPR041481,-,-,Q9H9Q2,264
PF10559,Plug domain of Sec61p,pfam,domain,IPR019561,-,-,Q9H9S3,476
PF04055,Radical SAM superfamily,pfam,domain,IPR007197,-,-,Q9H9T3,547
PF12068,Rab-binding domain (RBD),pfam,domain,IPR021935,-,-,Q9HA65,648
PF00595,PDZ domain,pfam,domain,IPR001478,-,-,Q9HAP6,207
PF02828,L27 domain,pfam,domain,IPR014775,-,-,Q9HAP6,207
PF02140,Galactose binding lectin domain,pfam,domain,IPR000922,-,-,Q9HAR2,1447
PF16489,GPCR-Autoproteolysis INducing (GAIN) domain,pfam,domain,IPR032471,-,-,Q9HAR2,1447
PF03629,"Carbohydrate esterase, sialic acid-specific acetylesterase",pfam,domain,IPR005181,-,-,Q9HAT2,523
PF00169,PH domain,pfam,domain,IPR001849,-,-,Q9HAU0,1116
PF00397,WW domain,pfam,domain,IPR001202,-,-,Q9HAU0,1116
PF00169,PH domain,pfam,domain,IPR001849,-,-,Q9HB19,425
PF00169,PH domain,pfam,domain,IPR001849,-,-,Q9HB21,404
PF00450,Serine carboxypeptidase,pfam,domain,IPR001563,-,-,Q9HB40,452
PF04969,CS domain,pfam,domain,IPR007052,-,-,Q9HB71,228
PF05002,SGS domain,pfam,domain,IPR007699,-,-,Q9HB71,228
PF09032,"Siah interacting protein, N terminal",pfam,domain,IPR015120,-,-,Q9HB71,228
PF04670,Gtr1/RagA G protein conserved region,pfam,domain,IPR006762,-,-,Q9HB90,399
PF01363,FYVE zinc finger,pfam,domain,IPR000306,-,-,Q9HBF4,777
PF01327,Polypeptide deformylase,pfam,domain,IPR023635,-,-,Q9HBH1,243
PF00106,short chain dehydrogenase,pfam,domain,IPR002347,-,-,Q9HBH5,336
PF00067,Cytochrome P450,pfam,domain,IPR001128,-,-,Q9HBI6,524
PF00028,Cadherin domain,pfam,domain,IPR002126,-,-,Q9HBT6,801
PF07679,Immunoglobulin I-set domain,pfam,domain,IPR013098,-,-,Q9HBW1,653
PF21207,"Glyoxalase domain-containing protein 4, N-terminal",pfam,domain,-,-,-,Q9HC38,313
PF21701,"Glyoxalasedomain-containing protein 4-like, C-terminal domain",pfam,domain,-,-,-,Q9HC38,313
PF00028,Cadherin domain,pfam,domain,IPR002126,-,-,Q9HC56,1237
PF08266,Cadherin-like,pfam,domain,IPR013164,-,-,Q9HC56,1237
PF00090,Thrombospondin type 1 domain,pfam,domain,IPR000884,-,-,Q9HCB6,807
PF06468,Spondin_N,pfam,domain,IPR009465,-,-,Q9HCB6,807
PF19028,Spondin-like TSP1 domain,pfam,domain,IPR044004,-,-,Q9HCB6,807
PF03129,Anticodon binding domain,pfam,domain,IPR004154,-,-,Q9HCD5,579
PF00168,C2 domain,pfam,domain,IPR000008,-,-,Q9HCH3,593
PF00071,Ras family,pfam,domain,IPR001806,-,-,Q9HCH5,934
PF00168,C2 domain,pfam,domain,IPR000008,-,-,Q9HCH5,934
PF08240,Alcohol dehydrogenase GroES-like domain,pfam,domain,IPR013154,-,-,Q9HCJ6,419
PF13602,Zinc-binding dehydrogenase,pfam,domain,-,-,-,Q9HCJ6,419
PF00041,Fibronectin type III domain,pfam,domain,IPR003961,-,-,Q9HCK4,1378
PF07679,Immunoglobulin I-set domain,pfam,domain,IPR013098,-,-,Q9HCK4,1378
PF13927,Immunoglobulin domain,pfam,domain,-,-,-,Q9HCK4,1378
PF01833,IPT/TIG domain,pfam,domain,IPR002909,-,-,Q9HCM2,1894
PF08337,Plexin cytoplasmic RasGAP domain,pfam,domain,IPR013548,-,-,Q9HCM2,1894
PF17960,TIG domain,pfam,domain,IPR041019,-,-,Q9HCM2,1894
PF18020,TIG domain found in plexin,pfam,domain,IPR041362,-,-,Q9HCM2,1894
PF20170,Plexin cytoplasmic RhoGTPase-binding domain,pfam,domain,IPR046800,-,-,Q9HCM2,1894
PF00373,FERM central domain,pfam,domain,IPR019748,-,-,Q9HCM4,733
PF09379,FERM N-terminal domain,pfam,domain,IPR018979,-,-,Q9HCM4,733
PF09380,FERM C-terminal PH-like domain,pfam,domain,IPR018980,-,-,Q9HCM4,733
PF03029,Conserved hypothetical ATP binding protein,pfam,domain,IPR004130,-,-,Q9HCN4,374
PF02815,MIR domain,pfam,domain,IPR016093,-,-,Q9HCN8,221
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,Q9HCP0,422
PF00595,PDZ domain,pfam,domain,IPR001478,-,-,Q9HD26,462
PF05889,"O-phosphoseryl-tRNA(Sec) selenium transferase, SepSecS",pfam,domain,IPR008829,-,-,Q9HD40,501
PF00005,ABC transporter,pfam,domain,IPR003439,-,-,Q9NP58,842
PF01412,Putative GTPase activating protein for Arf,pfam,domain,IPR001164,-,-,Q9NP61,516
PF00071,Ras family,pfam,domain,IPR001806,-,-,Q9NP72,206
PF18097,Vta1 C-terminal domain,pfam,domain,IPR041212,-,-,Q9NP79,307
PF00587,"tRNA synthetase class II core domain (G, H, P, S and T)",pfam,domain,IPR002314,-,-,Q9NP81,518
PF00071,Ras family,pfam,domain,IPR001806,-,-,Q9NP90,201
PF03259,Roadblock/LC7 domain,pfam,domain,IPR004942,-,-,Q9NP97,96
PF09430,"ER membrane protein complex subunit 7, beta-sandwich domain",pfam,domain,IPR019008,-,-,Q9NPA0,242
PF00042,Globin,pfam,domain,IPR000971,-,-,Q9NPG2,151
PF03061,Thioesterase superfamily,pfam,domain,IPR006683,-,-,Q9NPJ3,140
PF00702,haloacid dehalogenase-like hydrolase,pfam,domain,-,-,-,Q9NQ11,1180
PF08703,PLC-beta C terminal,pfam,domain,IPR014815,-,-,Q9NQ66,1216
PF09279,"Phosphoinositide-specific phospholipase C, efhand-like",pfam,domain,IPR015359,-,-,Q9NQ66,1216
PF17787,PH domain,pfam,domain,IPR037862,-,-,Q9NQ66,1216
PF07645,Calcium-binding EGF domain,pfam,domain,IPR049883,-,-,Q9NQ79,661
PF00041,Fibronectin type III domain,pfam,domain,IPR003961,-,-,Q9NQ86,728
PF00643,B-box zinc finger,pfam,domain,IPR000315,-,-,Q9NQ86,728
PF13445,RING-type zinc-finger,pfam,domain,IPR027370,-,-,Q9NQ86,728
PF18568,TRIM C-terminal subgroup One Signature domain,pfam,domain,IPR040859,-,-,Q9NQ86,728
PF00300,Histidine phosphatase superfamily (branch 1),pfam,domain,IPR013078,-,-,Q9NQ88,270
PF01302,CAP-Gly domain,pfam,domain,IPR000938,-,-,Q9NQC7,956
PF16566,Cell-cycle alteration and expression-elevated protein in tumour,pfam,domain,IPR032337,-,-,Q9NQG5,326
PF00557,Metallopeptidase family M24,pfam,domain,IPR000994,-,-,Q9NQH7,507
PF05195,"Aminopeptidase P, N-terminal domain",pfam,domain,IPR007865,-,-,Q9NQH7,507
PF07686,Immunoglobulin V-set domain,pfam,domain,IPR013106,-,-,Q9NQS3,549
PF08205,CD80-like C2-set immunoglobulin domain,pfam,domain,IPR013162,-,-,Q9NQS3,549
PF00225,Kinesin motor domain,pfam,domain,IPR001752,-,-,Q9NQT8,1826
PF01302,CAP-Gly domain,pfam,domain,IPR000938,-,-,Q9NQT8,1826
PF00169,PH domain,pfam,domain,IPR001849,-,-,Q9NQW6,1124
PF08174,Cell division protein anillin,pfam,domain,IPR012966,-,-,Q9NQW6,1124
PF00557,Metallopeptidase family M24,pfam,domain,IPR000994,-,-,Q9NQW7,623
PF01321,Creatinase/Prolidase N-terminal domain,pfam,domain,IPR000587,-,-,Q9NQW7,623
PF16188,C-terminal region of peptidase_M24,pfam,domain,IPR032416,-,-,Q9NQW7,623
PF16189,Creatinase/Prolidase N-terminal domain,pfam,domain,-,-,-,Q9NQW7,623
PF00994,Probable molybdopterin binding domain,pfam,domain,IPR001453,-,-,Q9NQX3,736
PF03454,MoeA C-terminal region (domain IV),pfam,domain,IPR005111,-,-,Q9NQX3,736
PF04089,BRICHOS domain,pfam,domain,IPR007084,-,-,Q9NQX7,267
PF01852,START domain,pfam,domain,IPR002913,-,-,Q9NQZ5,370
PF00412,LIM domain,pfam,domain,IPR001781,-,-,Q9NR12,457
PF00595,PDZ domain,pfam,domain,IPR001478,-,-,Q9NR12,457
PF13193,AMP-binding enzyme C-terminal domain,pfam,domain,IPR025110,-,-,Q9NR19,701
PF09057,Second Mitochondria-derived Activator of Caspases,pfam,domain,IPR015142,-,-,Q9NR28,239
PF00025,ADP-ribosylation factor family,pfam,domain,IPR006689,-,-,Q9NR31,198
PF03102,NeuB family,pfam,domain,IPR013132,-,-,Q9NR45,359
PF08666,SAF domain,pfam,domain,IPR013974,-,-,Q9NR45,359
PF03114,BAR domain,pfam,domain,IPR004148,-,-,Q9NR46,395
PF14604,Variant SH3 domain,pfam,domain,IPR001452,-,-,Q9NR46,395
PF19279,YegS C-terminal NAD kinase beta sandwich-like domain,pfam,domain,IPR045540,-,-,Q9NRA0,654
PF12937,F-box-like,pfam,domain,IPR001810,-,-,Q9NRD1,293
PF00595,PDZ domain,pfam,domain,IPR001478,-,-,Q9NRD5,415
PF06456,Arfaptin-like domain,pfam,domain,IPR010504,-,-,Q9NRD5,415
PF00017,SH2 domain,pfam,domain,IPR000980,-,-,Q9NRF2,756
PF00169,PH domain,pfam,domain,IPR001849,-,-,Q9NRF2,756
PF08916,Phenylalanine zipper,pfam,domain,IPR015012,-,-,Q9NRF2,756
PF00117,Glutamine amidotransferase class-I,pfam,domain,IPR017926,-,-,Q9NRF8,586
PF06418,CTP synthase N-terminus,pfam,domain,IPR017456,-,-,Q9NRF8,586
PF00156,Phosphoribosyl transferase domain,pfam,domain,IPR000836,-,-,Q9NRG1,225
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,Q9NRH2,765
PF00005,ABC transporter,pfam,domain,IPR003439,-,-,Q9NRK6,738
PF01648,4'-phosphopantetheinyl transferase superfamily,pfam,domain,IPR008278,-,-,Q9NRN7,309
PF03803,Scramblase,pfam,domain,IPR005552,-,-,Q9NRQ2,329
PF00786,P21-Rho-binding domain,pfam,domain,IPR000095,-,-,Q9NRR3,84
PF00240,Ubiquitin family,pfam,domain,IPR000626,-,-,Q9NRR5,601
PF00627,UBA/TS-N domain,pfam,domain,IPR015940,-,-,Q9NRR5,601
PF00787,PX domain,pfam,domain,IPR001683,-,-,Q9NRS6,342
PF04212,MIT (microtubule interacting and transport) domain,pfam,domain,IPR007330,-,-,Q9NRS6,342
PF00571,CBS domain,pfam,domain,IPR000644,-,-,Q9NRU3,951
PF01595,Cyclin M transmembrane N-terminal domain,pfam,domain,IPR002550,-,-,Q9NRU3,951
PF00071,Ras family,pfam,domain,IPR001806,-,-,Q9NRW1,208
PF00071,Ras family,pfam,domain,IPR001806,-,-,Q9NRY4,1499
PF00620,RhoGAP domain,pfam,domain,IPR000198,-,-,Q9NRY4,1499
PF16512,p190-A and -B Rho GAPs FF domain,pfam,domain,IPR032835,-,-,Q9NRY4,1499
PF19518,"p190RhoGAP, pG1 and pG2 domains",pfam,domain,IPR045786,-,-,Q9NRY4,1499
PF03803,Scramblase,pfam,domain,IPR005552,-,-,Q9NRY6,295
PF13499,EF-hand domain pair,pfam,domain,IPR002048,-,-,Q9NS61,270
PF13833,EF-hand domain pair,pfam,domain,IPR002048,-,-,Q9NS61,270
PF00194,Eukaryotic-type carbonic anhydrase,pfam,domain,IPR001148,-,-,Q9NS85,328
PF00568,WH1 domain,pfam,domain,IPR000697,-,-,Q9NSB8,354
PF03483,B3/4 domain,pfam,domain,IPR005146,-,-,Q9NSD9,589
PF03484,tRNA synthetase B5 domain,pfam,domain,IPR005147,-,-,Q9NSD9,589
PF17759,Phenylalanyl tRNA synthetase beta chain CLM domain,pfam,domain,IPR041616,-,-,Q9NSD9,589
PF18262,Phe-tRNA synthetase beta subunit B1 domain,pfam,domain,IPR040659,-,-,Q9NSD9,589
PF00133,"tRNA synthetases class I (I, L, M and V)",pfam,domain,IPR002300,-,-,Q9NSE4,1012
PF06827,Zinc finger found in FPG and IleRS,pfam,domain,IPR010663,-,-,Q9NSE4,1012
PF08264,Anticodon-binding domain of tRNA ligase,pfam,domain,IPR013155,-,-,Q9NSE4,1012
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,Q9NSY0,501
PF03987,"Autophagocytosis associated protein, active-site domain",pfam,domain,IPR007135,-,-,Q9NT62,314
PF07679,Immunoglobulin I-set domain,pfam,domain,IPR013098,-,-,Q9NT99,713
PF01074,Glycosyl hydrolases family 38 N-terminal domain,pfam,domain,IPR000602,-,-,Q9NTJ4,1040
PF07748,Glycosyl hydrolases family 38 C-terminal domain,pfam,domain,IPR011682,-,-,Q9NTJ4,1040
PF09261,Alpha mannosidase middle domain,pfam,domain,IPR015341,-,-,Q9NTJ4,1040
PF17677,Glycosyl hydrolases family 38 C-terminal beta sandwich domain,pfam,domain,IPR041147,-,-,Q9NTJ4,1040
PF06071,Protein of unknown function (DUF933),pfam,domain,IPR013029,-,-,Q9NTK5,396
PF03932,CutC family,pfam,domain,IPR005627,-,-,Q9NTM9,273
PF00386,C1q domain,pfam,domain,IPR001073,-,-,Q9NTU7,201
PF00378,Enoyl-CoA hydratase/isomerase,pfam,domain,IPR001753,-,-,Q9NTX5,307
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,Q9NTZ6,932
PF13193,AMP-binding enzyme C-terminal domain,pfam,domain,IPR025110,-,-,Q9NUB1,689
PF13561,Enoyl-(Acyl carrier protein) reductase,pfam,domain,-,-,-,Q9NUI1,292
PF00561,alpha/beta hydrolase fold,pfam,domain,IPR000073,-,-,Q9NUJ1,306
PF07092,TM106 protein C-terminal domain,pfam,domain,IPR048509,-,-,Q9NUM4,274
PF00595,PDZ domain,pfam,domain,IPR001478,-,-,Q9NUP9,197
PF02828,L27 domain,pfam,domain,IPR014775,-,-,Q9NUP9,197
PF09058,L27_1,pfam,domain,IPR015143,-,-,Q9NUP9,197
PF20908,"Ubiquitin-fold modifier 1 specific protease 2, N-terminal",pfam,domain,IPR049387,-,-,Q9NUQ7,469
PF00005,ABC transporter,pfam,domain,IPR003439,-,-,Q9NUQ8,709
PF12848,ABC transporter,pfam,domain,IPR032781,-,-,Q9NUQ8,709
PF07159,CYRIA/CYRIB Rac1 binding domain,pfam,domain,IPR009828,-,-,Q9NUQ9,324
PF00005,ABC transporter,pfam,domain,IPR003439,-,-,Q9NUT2,735
PF00270,DEAD/DEAH box helicase,pfam,domain,IPR011545,-,-,Q9NUU7,478
PF00271,Helicase conserved C-terminal domain,pfam,domain,IPR001650,-,-,Q9NUU7,478
PF04548,AIG1 family,pfam,domain,IPR006703,-,-,Q9NUV9,329
PF00581,Rhodanese-like domain,pfam,domain,IPR001763,-,-,Q9NUY8,699
PF19430,TBC1 domain family member 23 C-terminal,pfam,domain,IPR045799,-,-,Q9NUY8,699
PF15277,Exocyst complex component SEC3 N-terminal PIP2 binding PH,pfam,domain,IPR028258,-,-,Q9NV70,894
PF00735,Septin,pfam,domain,IPR030379,-,-,Q9NVA2,429
PF00307,Calponin homology (CH) domain,pfam,domain,IPR001715,-,-,Q9NVD7,372
PF01937,Damage-control phosphatase ARMT1-like domain,pfam,domain,IPR002791,-,-,Q9NVE7,773
PF01612,3'-5' exonuclease,pfam,domain,IPR002562,-,-,Q9NVH0,621
PF00226,DnaJ domain,pfam,domain,IPR001623,-,-,Q9NVH1,559
PF11875,"DnaJ-like protein C11, C-terminal",pfam,domain,IPR024586,-,-,Q9NVH1,559
PF02668,"Taurine catabolism dioxygenase TauD, TfdA family",pfam,domain,IPR003819,-,-,Q9NVH6,421
PF06155,"Gamma-butyrobetaine hydroxylase-like, N-terminal",pfam,domain,IPR010376,-,-,Q9NVH6,421
PF00004,ATPase family associated with various cellular activities (AAA),pfam,domain,IPR003959,-,-,Q9NVI7,634
PF12037,"ATPase family AAA domain-containing protein 3, N-terminal",pfam,domain,IPR021911,-,-,Q9NVI7,634
PF00025,ADP-ribosylation factor family,pfam,domain,IPR006689,-,-,Q9NVJ2,186
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,Q9NVM6,304
PF00226,DnaJ domain,pfam,domain,IPR001623,-,-,Q9NVM6,304
PF00270,DEAD/DEAH box helicase,pfam,domain,IPR011545,-,-,Q9NVP1,670
